brand_model_year,family car,fuel-efficient car,comfortable car,luxury car,sporty car,quiet car,commuter car,stylish car,affordable car,compact car,spacious car,sexy car
FORD FLEX 2016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FORD FOCUS-RS 2016,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FORD FOCUS-ST 2016,0.75,1.0,0.25,0.0,0.0,0.25,0.5,0.0,0.0,0.75,0.0,0.0
FORD FOCUS 2016,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.0,0.1111111111111111,0.5555555555555556,0.0,0.0,0.1111111111111111,1.0,0.0,0.0
FORD FUSION-ENERGI 2016,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0
FORD FUSION-ENERGI 2017,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0
FORD FUSION-HYBRID 2016,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.75,0.25,0.0,0.0,0.0
FORD FUSION-HYBRID 2017,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0
FORD FUSION 2016,0.0,0.5384615384615384,0.3076923076923077,0.07692307692307693,0.38461538461538464,1.0,0.0,0.0,0.6923076923076923,0.07692307692307693,0.0,0.0
FORD FUSION 2017,0.16666666666666666,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
FORD MUSTANG 2016,0.0,0.25,1.0,0.15,0.2,0.05,0.2,0.2,0.0,0.05,0.0,0.0
FORD MUSTANG 2017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
FORD SHELBY-GT350 2016,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FORD SHELBY-GT350 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
FORD TAURUS 2016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0
FORD TRANSIT-CONNECT 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FORD TRANSIT-VAN 2016,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FORD TRANSIT-WAGON 2016,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GENESIS G80 2017,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.25,0.25,0.0,0.0,0.0
GMC ACADIA-LIMITED 2017,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GMC ACADIA 2016,0.0,0.0,1.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
GMC ACADIA 2017,0.0,0.2222222222222222,1.0,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0
GMC CANYON 2016,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMC TERRAIN 2016,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.0,0.0
GMC YUKON-XL 2016,0.5,1.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
GMC YUKON 2016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HONDA ACCORD-HYBRID 2017,0.058823529411764705,1.0,0.47058823529411764,0.11764705882352941,0.17647058823529413,0.5294117647058824,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0
